 Date ,Open ,High ,Low ,Close ,Change (Pips) ,Change (%)
"Sep 24, 2014 15:00 ",1221.54 ,1222.24 ,1217.89 ,1220.77 ,-7.7 ,-0.06%
"Sep 24, 2014 14:00 ",1222.1 ,1222.19 ,1219.97 ,1221.59 ,-5.1 ,-0.04%
"Sep 24, 2014 13:00 ",1224.55 ,1225.64 ,1220.74 ,1222.1 ,-24.5 ,-0.20%
"Sep 24, 2014 12:00 ",1221.74 ,1226.04 ,1221.25 ,1224.49 ,+27.5 ,+0.22%
"Sep 24, 2014 11:00 ",1224.39 ,1224.57 ,1221.69 ,1221.74 ,-26.5 ,-0.22%
"Sep 24, 2014 10:00 ",1224.77 ,1225.83 ,1223.79 ,1224.41 ,-3.6 ,-0.03%
"Sep 24, 2014 09:00 ",1223.29 ,1225.64 ,1222.81 ,1224.78 ,+14.9 ,+0.12%
"Sep 24, 2014 08:00 ",1223.54 ,1224.38 ,1222.92 ,1223.29 ,-2.5 ,-0.02%
"Sep 24, 2014 07:00 ",1223.34 ,1223.65 ,1222.49 ,1223.44 ,+1.0 ,+0.01%
"Sep 24, 2014 06:00 ",1222.71 ,1224.09 ,1222.16 ,1223.34 ,+6.3 ,+0.05%
"Sep 24, 2014 05:00 ",1222.98 ,1223.29 ,1220.81 ,1222.75 ,-2.3 ,-0.02%
"Sep 24, 2014 04:00 ",1221.19 ,1223.39 ,1220.3 ,1223.02 ,+18.3 ,+0.15%
"Sep 24, 2014 03:00 ",1221.81 ,1222.25 ,1220.97 ,1221.34 ,-4.7 ,-0.04%
"Sep 24, 2014 02:00 ",1221.87 ,1223.59 ,1221.65 ,1221.84 ,-0.3 ,+0.00%
"Sep 24, 2014 01:00 ",1222.21 ,1223.02 ,1222.01 ,1222.01 ,-2.0 ,-0.02%
"Sep 23, 2014 23:00 ",1222.79 ,1224.34 ,1222.36 ,1223.03 ,+2.4 ,+0.02%
"Sep 23, 2014 22:00 ",1224.44 ,1224.52 ,1221.5 ,1222.87 ,-15.7 ,-0.13%
"Sep 23, 2014 21:00 ",1221.95 ,1224.55 ,1221.93 ,1224.45 ,+25.0 ,+0.20%
"Sep 23, 2014 20:00 ",1221.19 ,1222.23 ,1220.65 ,1222.04 ,+8.5 ,+0.07%
"Sep 23, 2014 19:00 ",1223.03 ,1223.14 ,1220.46 ,1221.21 ,-18.2 ,-0.15%
"Sep 23, 2014 18:00 ",1221.92 ,1223.59 ,1221.19 ,1223.02 ,+11.0 ,+0.09%
"Sep 23, 2014 17:00 ",1221.69 ,1223.09 ,1219.94 ,1221.89 ,+2.0 ,+0.02%
"Sep 23, 2014 16:00 ",1225.69 ,1227.59 ,1221.54 ,1221.74 ,-39.5 ,-0.32%
"Sep 23, 2014 15:00 ",1232.7 ,1232.91 ,1224.99 ,1225.76 ,-69.4 ,-0.57%
