 Date ,Open ,High ,Low ,Close ,Change (Pips) ,Change (%),,OH diff,OL diff.,OC diff,Max,Min,Avg. Max.,2.0998811096
Sep 22, 2014 03:00 ,1216.1,1217.85,1215.82,1217.29,11.9,+0.10%,1.75,0.28,1.19,1.75,0.28,,
Sep 22, 2014 02:00 ,1214.88,1216.35,1214.75,1216.05,11.7,+0.10%,1.47,0.13,1.17,1.47,0.13,,
Sep 22, 2014 01:00 ,1215.12,1216.28,1214.7,1214.81,-3.1,-0.03%,1.16,0.42,-0.31,1.16,0.42,,
Sep 19, 2014 23:00 ,1217.63,1217.69,1214.83,1215.46,-21.7,-0.18%,0.06,2.8,-2.17,2.8,0.06,,
Sep 19, 2014 22:00 ,1215.44,1217.71,1215.44,1217.54,21,+0.17%,2.27,0,2.1,2.27,0,,
Sep 19, 2014 21:00 ,1215.34,1216.39,1214.75,1215.45,1.1,+0.01%,1.05,0.59,0.11,1.05,0.59,,
Sep 19, 2014 20:00 ,1216.89,1217.19,1213.75,1215.44,-14.5,-0.12%,0.3,3.14,-1.45,3.14,0.3,,
Sep 19, 2014 19:00 ,1218.17,1218.82,1215.39,1216.96,-12.1,-0.10%,0.65,2.78,-1.21,2.78,0.65,,
Sep 19, 2014 18:00 ,1217.14,1220.34,1216.42,1218.17,10.3,+0.08%,3.2,0.72,1.03,3.2,0.72,,
Sep 19, 2014 17:00 ,1219.84,1221.34,1214.27,1217.29,-25.5,-0.21%,1.5,5.57,-2.55,5.57,1.5,,
Sep 19, 2014 16:00 ,1224.64,1224.74,1218.92,1219.89,-47.5,-0.39%,0.1,5.72,-4.75,5.72,0.1,,
Sep 19, 2014 15:00 ,1222.74,1225.67,1221.07,1224.64,19,+0.16%,2.93,1.67,1.9,2.93,1.67,,
Sep 19, 2014 14:00 ,1221.99,1223.39,1221.55,1222.7,7.1,+0.06%,1.4,0.44,0.71,1.4,0.44,,
Sep 19, 2014 13:00 ,1222.84,1222.89,1220.84,1222,-8.4,-0.07%,0.05,2,-0.84,2,0.05,,
Sep 19, 2014 12:00 ,1222.79,1223.35,1221.79,1222.89,1,+0.01%,0.56,1,0.1,1,0.56,,
Sep 19, 2014 11:00 ,1222.4,1223.26,1220.28,1222.81,4.1,+0.03%,0.86,2.12,0.41,2.12,0.86,,
Sep 19, 2014 10:00 ,1220.86,1223.59,1220.64,1222.47,16.1,+0.13%,2.73,0.22,1.61,2.73,0.22,,
Sep 19, 2014 09:00 ,1223.64,1224.99,1220.68,1220.93,-27.1,-0.22%,1.35,2.96,-2.71,2.96,1.35,,
Sep 19, 2014 08:00 ,1221.41,1226.79,1218.79,1223.6,21.9,+0.18%,5.38,2.62,2.19,5.38,2.62,,
Sep 19, 2014 07:00 ,1228.08,1228.22,1221.09,1221.41,-66.7,-0.55%,0.14,6.99,-6.67,6.99,0.14,,
Sep 19, 2014 06:00 ,1223.19,1228.56,1223.19,1228.12,49.3,+0.40%,5.37,0,4.93,5.37,0,,
Sep 19, 2014 05:00 ,1222.04,1223.58,1220.99,1223.09,10.5,+0.09%,1.54,1.05,1.05,1.54,1.05,,
Sep 19, 2014 04:00 ,1224.12,1224.66,1218.24,1222.09,-20.3,-0.17%,0.54,5.88,-2.03,5.88,0.54,,
Sep 19, 2014 03:00 ,1224.87,1225.08,1223.38,1224.06,-8.1,-0.07%,0.21,1.49,-0.81,1.49,0.21,,
Sep 19, 2014 02:00 ,1225.84,1225.84,1224.77,1224.84,-10,-0.08%,0,1.07,-1,1.07,0,,
Sep 19, 2014 01:00 ,1224.84,1226.57,1224.84,1225.84,10,+0.08%,1.73,0,1,1.73,0,,
Sep 18, 2014 23:00 ,1224.76,1225.61,1224.46,1224.7,-0.6,+0.00%,0.85,0.3,-0.06,0.85,0.3,,
Sep 18, 2014 22:00 ,1226.21,1226.56,1224.71,1224.71,-15,-0.12%,0.35,1.5,-1.5,1.5,0.35,,
